dataset,model,subset,regime,f1_estimate,f1_mean,f1_ci.low,f1_ci.high,recall_estimate,recall_mean,recall_ci.low,recall_ci.high,precision_estimate,precision_mean,precision_ci.low,precision_ci.high
semeval,Llama3-8B,joint,10,0.252783325,0.25316455,0.206451661,0.300880307,0.297935103,0.29789528,0.250737463,0.34520649,0.225262645,0.227225358,0.179770986,0.277373291
semeval,Llama3-8B,target,100,0.440402668,0.440245524,0.378271532,0.504835261,0.587020649,0.586723599,0.533923304,0.637168142,0.758584771,0.703769173,0.314128836,0.769612116
semeval,Llama3-8B,stance,100,0.548369544,0.548337463,0.489736505,0.604332264,0.575221239,0.57540531,0.522123894,0.628318584,0.565897868,0.568241522,0.508350294,0.625736143
semeval,Llama3-8B,joint,100,0.275331445,0.275840656,0.226175128,0.328932155,0.371681416,0.371712094,0.321533923,0.424778761,0.315262464,0.306866135,0.191859381,0.438956245
semeval,Llama3-8B,target,all,0.844231601,0.84415202,0.804968433,0.882117829,0.843657817,0.843564897,0.805309735,0.8820059,0.846001447,0.846704296,0.807863533,0.883698907
semeval,Llama3-8B,stance,all,0.752468429,0.752481538,0.705565891,0.796846713,0.752212389,0.752174926,0.705014749,0.796460177,0.756383613,0.758047149,0.711705402,0.802461832
semeval,Llama3-8B,joint,all,0.667919595,0.667760002,0.616662388,0.717488666,0.663716814,0.663454277,0.610619469,0.713864307,0.677527247,0.681016959,0.631059457,0.730028691
semeval,Llama3-70B,target,10,0.562592767,0.562636145,0.510127316,0.614150082,0.560471976,0.560489381,0.507374631,0.613569322,0.566339825,0.567861706,0.513863681,0.62116492
semeval,Llama3-70B,stance,10,0.365877395,0.365820425,0.314534379,0.418983656,0.395280236,0.39499705,0.345132743,0.448377581,0.356274599,0.357581711,0.295276925,0.425171271
semeval,Llama3-70B,joint,10,0.219427616,0.219692337,0.173604279,0.266944232,0.265486726,0.265669027,0.218289086,0.312684366,0.223192577,0.225729498,0.165088282,0.291867642
semeval,Llama3-70B,target,100,0.437485853,0.438272438,0.376584964,0.50389995,0.581120944,0.581507965,0.530973451,0.634218289,0.547703958,0.547348761,0.315984349,0.762361287
semeval,Llama3-70B,stance,100,0.496819492,0.496833379,0.436121775,0.556469216,0.554572271,0.554889381,0.501474926,0.604719764,0.53879812,0.541296887,0.469897789,0.610015143
semeval,Llama3-70B,joint,100,0.246742231,0.246483385,0.196747679,0.298946465,0.353982301,0.353756342,0.303834808,0.404129794,0.386145791,0.36296669,0.185451356,0.438978174
semeval,Llama3-70B,target,all,0.813433175,0.813853789,0.771151302,0.855120432,0.814159292,0.814584071,0.772861357,0.855457227,0.813419258,0.81474382,0.771900843,0.855606568
semeval,Llama3-70B,stance,all,0.7254858,0.725512193,0.677532581,0.772803734,0.725663717,0.725709145,0.678466077,0.772861357,0.725382986,0.727225329,0.679371017,0.774946293
semeval,Llama3-70B,joint,all,0.615044334,0.614766473,0.561389501,0.666678991,0.613569322,0.61330059,0.560471976,0.663716814,0.623293249,0.62693374,0.571716836,0.680200853
fb,DeBERTa,clinton,zero-shot,0.436107518,0.435863184,0.383135699,0.487932325,0.4275,0.427308,0.38,0.475,0.690608326,0.69212771,0.639674431,0.740150666
fb,DeBERTa,trump,zero-shot,0.684598485,0.684871552,0.641614844,0.728899279,0.67,0.670194,0.625,0.7175,0.73187179,0.733306776,0.688900715,0.776149458
fb,DeBERTa,joint,zero-shot,0.323795267,0.323506611,0.272196023,0.373398616,0.2975,0.29749175,0.2525,0.3425,0.61076677,0.613658917,0.531765337,0.693077422
fb,Flan-T5,clinton,zero-shot,0.200595659,0.200710922,0.159052229,0.243233957,0.23,0.22991725,0.19,0.2725,0.177877358,0.178944641,0.136028647,0.224829426
fb,Flan-T5,trump,zero-shot,0.257439057,0.258074354,0.207688958,0.309367231,0.345,0.34504675,0.2975,0.39,0.809991031,0.81102716,0.788057003,0.834721069
fb,Flan-T5,joint,zero-shot,0.018568376,0.019009782,0.00747562,0.033643653,0.045,0.045008,0.025,0.0675,0.015345305,0.016367239,0.004974571,0.033183727
fb,Mistral-7B,clinton,zero-shot,0.6656543,0.666576228,0.620758481,0.711011566,0.655,0.65566625,0.6075,0.7025,0.701448759,0.703918724,0.658745827,0.747591669
fb,Mistral-7B,trump,zero-shot,0.538848547,0.539105113,0.487331805,0.589640972,0.51,0.51009475,0.4624375,0.5575,0.818128855,0.819156123,0.772381712,0.861898403
fb,Mistral-7B,joint,zero-shot,0.389422732,0.389470027,0.338889031,0.440170737,0.35,0.3500455,0.305,0.395,0.706322041,0.710065685,0.639808541,0.776589733
fb,Gemma-7B,clinton,zero-shot,0.727398964,0.727251529,0.684533152,0.770090003,0.7125,0.712414,0.6675,0.7575,0.744376316,0.745587166,0.70126291,0.789334162
fb,Gemma-7B,trump,zero-shot,0.603864277,0.603615098,0.555155497,0.651269162,0.5525,0.5521575,0.5025,0.6000625,0.84649219,0.847386075,0.807501817,0.88409874
fb,Gemma-7B,joint,zero-shot,0.493267814,0.493386945,0.44272795,0.545397863,0.435,0.43540825,0.3875,0.485,0.701623239,0.705232915,0.642435469,0.763599876
fb,Llama3-8B,clinton,zero-shot,0.780539997,0.780768244,0.741252256,0.81967225,0.7725,0.77262525,0.7325,0.8125,0.811193189,0.812604775,0.776883657,0.84658049
